Location,Condition,Count,Time,SC
1,0,72,1,0
1,0,77,2,0
1,0,57,3,0
1,1,17,4,0
1,1,16,5,1
1,1,1,6,2
1,1,5,7,3
1,1,2,8,4
1,1,4,9,5
1,1,3,10,6
1,1,2,11,7
2,0,73,1,0
2,0,62,2,0
2,0,76,3,0
2,1,3,4,0
2,1,5,5,1
2,1,2,6,2
2,1,20,7,3
2,1,13,8,4
2,1,9,9,5
2,1,5,10,6
2,1,4,11,7
3,0,471,1,0
3,0,283,2,0
3,0,372,3,0
3,1,71,4,0
3,1,56,5,1
3,1,105,6,2
3,1,141,7,3
3,1,88,8,4
3,1,36,9,5
3,1,57,10,6
3,1,110,11,7
4,0,113,1,0
4,0,174,2,0
4,0,71,3,0
4,1,0,4,0
4,1,2,5,1
4,1,3,6,2
4,1,1,7,3
4,1,3,8,4
4,1,7,9,5
4,1,1,10,6
4,1,7,11,7
